bench,lru,hawkeye,perceptron,ehc,both
graph,0.04951600893521966,0.04951600893521966,0.04951600893521966,0.04951600893521966,0.04951600893521966
mcf,0.3005611703612709,0.14008124293312116,0.11031464626723994,0.11844851293720204,0.09521815301072792
bzip2,0.16728971962616823,0.16728971962616823,0.16728971962616823,0.16728971962616823,0.16728971962616823
libquantum,0.49999499944993947,0.017891968116492813,0.0032003520387242595,0.017891968116492813,0.0032003520387242595
xalancbmk,0.0,0.0,0.0,0.0,0.0
