bench,lru,hawkeye,perceptron,ehc,both
graph,0.06914243830930858,0.06914243830930858,0.06914243830930858,0.06914243830930858,0.06914243830930858
mcf,0.350809014473278,0.2582518365160224,0.19171906567089642,0.21831356809472785,0.17928892803472277
bzip2,0.46786056923568914,0.46786056923568914,0.46786056923568914,0.46786056923568914,0.46786056923568914
libquantum,0.4999949996499755,0.014341864442377509,0.014341864442377509,0.014341864442377509,0.014341864442377509
xalancbmk,0.0,2.4556750650753894e-05,2.4556750650753894e-05,2.4556750650753894e-05,2.4556750650753894e-05
